what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1278620177649
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1278620177896
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1278620178063
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1278620185305
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1278620186145
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1278620186287
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1278620186343
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1278620186488
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1278620186606
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1278620187249
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1278620193708
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620199840
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1278620211104
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1278620211157
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1278620211211
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620222414
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620224829
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620226398
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620228565
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1278620236690
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620237631
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1278620237650
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620270490
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620270543
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620270555
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620335349
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1278620342097
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1278620343655
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620348435
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620360738
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620364509
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620497704
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620499880
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620727000
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1278620727131
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278620727307
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1278620727801
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1278620727801
